,dr7objid,ra,dec,rastring,decstring,sample,gz2_class
36,587733603732291636,249.15481567382807,36.20042037963867,16:36:37.16,+36:12:01.5,original,Er
191,587735349099954195,156.44276428222656,13.716849327087402,10:25:46.26,+13:43:00.7,original,Sb2l(m)
281,587736783607365679,243.16726684570312,33.03489685058594,16:12:40.14,+33:02:05.6,original,Er(m)
454,587726102561488973,223.5547332763672,4.8415703773498535,14:54:13.14,+04:50:29.7,original,Ei
527,587739827139051617,240.533447265625,15.696548461914062,16:02:08.03,+15:41:47.6,original,Sb1l(m)
743,587731521207992450,138.98133850097656,44.33279037475586,09:15:55.52,+44:19:58.0,extra,Sb1l(m)
880,587724650335764572,191.46804809570312,-1.6802375316619873,12:45:52.33,-01:40:48.9,original,Ei
1096,587738066193154260,119.10948944091795,51.27604675292969,07:56:26.28,+51:16:33.8,original,Ei
1228,587742577532797204,225.15359497070312,16.172304153442383,15:00:36.86,+16:10:20.3,original,SBb2m(m)
1312,587735349099954194,156.4525146484375,13.727937698364258,10:25:48.60,+13:43:40.6,original,Er(m)
1325,587736940369281031,209.41534423828125,36.33560180664063,13:57:39.68,+36:20:08.2,original,Ei
1442,587731500260720647,159.1833038330078,54.79695510864258,10:36:43.99,+54:47:49.0,original,Sb1l(m)
1599,588017704531853356,158.38929748535156,11.871377944946287,10:33:33.43,+11:52:17.0,original,Sc2m(m)
1612,587739133488070838,202.33932495117188,37.41402053833008,13:29:21.44,+37:24:50.5,original,SBc2m(m)
1724,588013383281082458,185.1856689453125,52.60491180419922,12:20:44.56,+52:36:17.7,original,Er
1805,587730022798786648,236.01528930664065,4.769466876983643,15:44:03.67,+04:46:10.1,extra,Sc3m(m)
1916,587738066739855417,148.82427978515625,68.61882781982422,09:55:17.83,+68:37:07.8,original,Er
2013,588010137341526019,140.09765625,54.942142486572266,09:20:23.44,+54:56:31.7,original,Er
2218,587739827139051618,240.53598022460935,15.693169593811035,16:02:08.64,+15:41:35.4,original,Er(m)
2509,587736546314879004,233.7351837158203,4.958838939666748,15:34:56.44,+04:57:31.8,original,Ei
2537,587742576461938731,231.4761505126953,13.660377502441406,15:25:54.28,+13:39:37.4,original,Ei
2797,587739828744552543,229.47544860839844,20.83807945251465,15:17:54.11,+20:50:17.1,original,Ser(m)
2805,587736783607365680,243.17221069335935,33.0377197265625,16:12:41.33,+33:02:15.8,original,Ei(m)
2828,587735695368192159,177.52200317382812,56.48099136352539,11:50:05.28,+56:28:51.6,original,Er
2867,587735430152847406,193.2645721435547,49.87971115112305,12:53:03.50,+49:52:47.0,original,Ei
3088,587742575919890586,219.47520446777344,15.863661766052246,14:37:54.05,+15:51:49.2,original,SBc2m(m)
3206,587739814779617625,239.6414794921875,20.185136795043945,15:58:33.96,+20:11:06.5,original,SBb2t(m)
