,dr7objid,ra,dec,rastring,decstring,sample,gz2_class
16,587739809961148431,239.45672607421875,16.3101806640625,15:57:49.61,+16:18:36.7,original,Ei
20,587739405705150546,176.05821228027344,33.5145149230957,11:44:13.97,+33:30:52.3,original,Er
42,587730021722357790,229.75607299804688,4.52077579498291,15:19:01.46,+04:31:14.8,original,Ei
56,588007005805281492,249.3756561279297,44.144493103027344,16:37:30.16,+44:08:40.2,original,Ei
101,587735696987390006,212.5066070556641,54.88172149658203,14:10:01.59,+54:52:54.2,original,Ei
102,587733412064723046,237.4093475341797,42.03422164916992,15:49:38.24,+42:02:03.2,original,Er
119,587733603728949419,242.717529296875,41.88582229614258,16:10:52.21,+41:53:09.0,original,Er
135,587739719773126823,240.88368225097656,17.198688507080078,16:03:32.08,+17:11:55.3,original,Ei
166,587737809029169174,115.30201721191406,42.74938583374024,07:41:12.48,+42:44:57.8,original,Ei
178,587742013271900177,155.65725708007812,19.39685440063477,10:22:37.74,+19:23:48.7,original,Ei
231,587742013837672581,225.68069458007807,17.252521514892578,15:02:43.37,+17:15:09.1,original,Ei
313,587739827676250280,241.4463348388672,15.7909517288208,16:05:47.12,+15:47:27.4,original,Er
326,587742061067829260,172.28196716308594,21.58601951599121,11:29:07.67,+21:35:09.7,original,Er
379,587742062678442042,172.1888427734375,22.928646087646484,11:28:45.32,+22:55:43.1,original,Ei
398,587736546312912961,229.26657104492188,5.256100177764893,15:17:03.98,+05:15:22.0,original,Er
446,587731521208123453,139.30882263183594,44.48918533325195,09:17:14.12,+44:29:21.1,original,Ei
482,587726102563520598,228.220703125,4.514011859893799,15:12:52.97,+04:30:50.4,original,Ei
506,587730023333429278,230.94520568847656,5.775197505950928,15:23:46.85,+05:46:30.7,original,Ei
562,587739828212793392,240.81141662597656,16.40282440185547,16:03:14.74,+16:24:10.2,original,Ei
580,587726032777904164,162.81304931640625,2.4378225803375244,10:51:15.13,+02:26:16.2,original,Ei
605,587739407845490709,156.54635620117188,32.0989990234375,10:26:11.13,+32:05:56.4,original,Ei
611,587742576455647379,216.90570068359372,16.899856567382812,14:27:37.37,+16:53:59.5,original,Ei
659,587739828751433829,244.90365600585935,15.27829933166504,16:19:36.88,+15:16:41.9,original,Er
671,587733432460574946,254.1743927001953,26.83847045898437,16:56:41.85,+26:50:18.5,original,Ei
673,588848899933339813,227.25439453125,-0.165898397564888,15:09:01.05,+00:09:57.2,original,Ei
700,587733398646816920,245.91094970703125,35.01128005981445,16:23:38.63,+35:00:40.6,original,Er
742,588016891712503849,155.65586853027344,38.57915115356445,10:22:37.41,+38:34:44.9,original,Ei
744,587739707946893407,216.1688690185547,26.625141143798828,14:24:40.53,+26:37:30.5,original,Ei
781,588023045865406507,134.5859832763672,17.53785514831543,08:58:20.64,+17:32:16.3,original,Er
813,587741709416792143,167.2836151123047,26.62760162353516,11:09:08.07,+26:37:39.4,original,Ei
832,587728879792947520,130.14337158203125,2.6113264560699463,08:40:34.41,+02:36:40.8,original,Er
837,587741603113271314,204.1507110595703,27.24217987060547,13:36:36.17,+27:14:31.8,original,Er
873,587732590108999783,200.26258850097656,58.548858642578125,13:21:03.02,+58:32:55.9,original,Ei
899,588298664648704035,189.12684631347656,48.50265502929688,12:36:30.44,+48:30:09.6,original,Ei
