,dr7objid,ra,dec,rastring,decstring,sample,gz2_class
22,588017702945554490,215.0460968017578,10.262919425964355,14:20:11.06,+10:15:46.5,original,Er
49,587735664778477588,238.75804138183597,41.57833480834961,15:55:01.93,+41:34:42.0,original,Ei
68,587731499189403823,169.05825805664062,55.70429229736328,11:16:13.98,+55:42:15.5,original,SBc(r)
74,587725469054009437,120.85026550292967,41.914833068847656,08:03:24.06,+41:54:53.4,original,Sb
79,587742615099801629,242.7339782714844,13.751861572265623,16:10:56.15,+13:45:06.7,original,Ei(r)
93,587736782002454592,253.10952758789065,23.332582473754883,16:52:26.29,+23:19:57.3,original,Sb?t(r)
126,588017111290150975,165.04747009277344,45.73783493041992,11:00:11.39,+45:44:16.2,original,Sc+t
129,587742061601161266,163.62281799316406,21.163652420043945,10:54:29.48,+21:09:49.1,original,Sb?t
131,587733608552923224,245.2242126464844,40.10414505004883,16:20:53.81,+40:06:14.9,original,SBb2t
133,587736543095947393,224.3992156982422,8.285269737243652,14:57:35.81,+08:17:07.0,original,Sc?t(r)
138,587739406241562641,174.65098571777344,33.867950439453125,11:38:36.24,+33:52:04.6,original,Ei
140,587736975274410107,235.6911773681641,24.9860782623291,15:42:45.88,+24:59:09.9,original,Ei
156,587733432461623574,255.83706665039065,24.936058044433597,17:03:20.90,+24:56:09.8,extra,Sb?m
179,587736619865407501,248.2567443847656,22.79739761352539,16:33:01.62,+22:47:50.6,original,Er
190,587733609628696658,250.0269470214844,37.19131851196289,16:40:06.47,+37:11:28.7,original,Sb(r)
195,587739648895942786,176.10740661621094,33.355072021484375,11:44:25.78,+33:21:18.3,original,SBb2m(r)
196,588298662500761618,187.54937744140625,47.006309509277344,12:30:11.85,+47:00:22.7,original,Er
197,588017726015864940,196.02081298828125,7.90789270401001,13:04:05.00,+07:54:28.4,original,Ei
198,587731874460991570,121.36714935302734,35.94668960571289,08:05:28.12,+35:56:48.1,original,Sb(r)
208,587742578068422690,222.3016357421875,17.020936965942383,14:49:12.39,+17:01:15.4,original,Sb?t
227,587739407313928198,170.72311401367188,34.34092330932617,11:22:53.55,+34:20:27.3,original,SBb2m
228,587737809571741888,125.17668151855467,54.1265754699707,08:20:42.40,+54:07:35.7,original,SBb(r)
233,587741489834426496,166.8257598876953,28.52776336669922,11:07:18.18,+28:31:39.9,original,SBb2m(r)
239,587731513154535471,45.97046661376953,0.415272980928421,03:03:52.91,+00:24:55.0,stripe82,Er
282,587728880337616949,148.0029754638672,4.150752544403076,09:52:00.71,+04:09:02.7,original,Sb(r)
283,587735666394267767,250.2503204345703,33.77305221557617,16:41:00.08,+33:46:23.0,original,Sb
317,587732703396102158,144.8469696044922,6.401669502258301,09:39:23.27,+06:24:06.0,original,Sb?t
318,587726100411121701,216.84368896484372,3.5764944553375244,14:27:22.49,+03:34:35.4,original,Sb(r)
319,587733441591116099,250.0945281982422,33.67974853515625,16:40:22.69,+33:40:47.1,original,Sb2t
321,587733397572681759,244.35682678222656,35.135746002197266,16:17:25.64,+35:08:08.7,original,SBb2m
325,587742645164179632,242.6106414794922,12.30567741394043,16:10:26.55,+12:18:20.4,original,SBc2m
339,588017116131688457,226.3730926513672,39.94448471069336,15:05:29.54,+39:56:40.1,original,SBb2t
351,587741709956808787,175.357666015625,27.85915184020996,11:41:25.84,+27:51:32.9,original,Er
353,587731886275952714,130.59841918945312,41.90900421142578,08:42:23.62,+41:54:32.4,original,Sb(r)
354,587741489834557471,167.2133331298828,28.475709915161133,11:08:51.20,+28:28:32.6,original,Sb2l(r)
357,587731186744885310,9.39919376373291,0.2806922495365143,00:37:35.81,+00:16:50.5,stripe82,Ei(r)
363,587739406250803370,200.1327362060547,33.29156494140625,13:20:31.86,+33:17:29.6,original,SBb?t
377,587735666384044186,227.0975799560547,49.66598892211914,15:08:23.42,+49:39:57.6,original,Ei
405,587735666927009829,242.6825408935547,41.14855194091797,16:10:43.81,+41:08:54.8,original,Sb(r)
409,587736802936356904,199.08932495117188,13.5018310546875,13:16:21.44,+13:30:06.6,original,Er
416,587722984442232848,220.59837341308597,0.9079981446266174,14:42:23.61,+00:54:28.8,original,Er
422,587735429615779913,192.4157257080078,49.44712829589844,12:49:39.77,+49:26:49.7,original,Ei
435,587736812058378443,229.88609313964844,9.960016250610352,15:19:32.66,+09:57:36.1,original,SBb?t
439,588011217525997639,210.0108642578125,59.2652473449707,14:00:02.61,+59:15:54.9,original,Er
441,587737810104287350,116.28021240234376,46.072410583496094,07:45:07.25,+46:04:20.7,original,Sb2l(r)
442,587729752211456129,256.8643798828125,31.247705459594727,17:07:27.45,+31:14:51.7,original,Sb2l
466,587739707948204093,219.36607360839844,25.76557159423828,14:37:27.86,+25:45:56.1,original,Sb1t(r)
478,587738196652982642,121.05484008789062,55.39765930175781,08:04:13.16,+55:23:51.6,original,SBb2l(r)
483,588015508217725044,50.5361213684082,-0.8362721800804138,03:22:08.67,+00:50:10.6,stripe82,Sb?t(r)
486,588017604147347468,184.54373168945312,44.40047836303711,12:18:10.50,+44:24:01.7,original,Ei
495,587739505014407218,205.29641723632807,30.378150939941406,13:41:11.14,+30:22:41.3,original,Sb?m(r)
511,587738409256747044,162.1420135498047,12.98297882080078,10:48:34.08,+12:58:58.7,original,Sb?t
516,588297865804382261,178.12184143066406,48.45888519287109,11:52:29.24,+48:27:32.0,extra,SBb2m
521,588009372836626453,174.07286071777344,63.0913314819336,11:36:17.49,+63:05:28.8,original,Sb(r)
532,588009368545787998,134.5450439453125,52.18282318115234,08:58:10.81,+52:10:58.2,original,Sb?m(r)
551,588298664116551732,204.8736572265625,46.56380462646485,13:39:29.68,+46:33:49.7,original,Sb
571,587731522279899358,133.669677734375,42.52638626098633,08:54:40.72,+42:31:35.0,original,Sc(r)
589,588015508210122861,33.08202362060547,-0.8115167617797852,02:12:19.69,+00:48:41.5,stripe82,SBb2m(r)
598,587736915680297059,223.7436065673828,11.698966979980469,14:54:58.47,+11:41:56.3,original,Sb(r)
600,588017978375274647,236.0355224609375,27.44412612915039,15:44:08.53,+27:26:38.9,original,Ec
606,588010360145838196,147.6461639404297,4.773125171661377,09:50:35.08,+04:46:23.3,original,Sb(r)
619,587739405714325521,201.08421325683597,32.848121643066406,13:24:20.21,+32:50:53.2,original,Sb?m(r)
638,587739158730637371,156.19371032714844,34.64894485473633,10:24:46.49,+34:38:56.2,original,SBb2t
640,587734894366883919,187.38661193847656,11.215510368347168,12:29:32.79,+11:12:55.8,original,Sb?t(r)
646,587739407337259013,232.26585388183597,25.458221435546875,15:29:03.80,+25:27:29.6,original,SBc2m
