,dr7objid,ra,dec,rastring,decstring,sample,gz2_class
0,587732591714893851,179.04298400878906,60.52251815795898,11:56:10.32,+60:31:21.1,original,Sc+t
1,588009368545984617,135.0843963623047,52.494239807128906,09:00:20.26,+52:29:39.3,original,Sb+t
3,587741723357282317,186.251953125,28.558597564697266,12:25:00.47,+28:33:31.0,original,Sc+t
7,587735742617616406,243.14675903320312,29.365066528320312,16:12:35.22,+29:21:54.2,original,Sb+t
17,587742189913767973,206.31735229492188,23.218955993652344,13:45:16.16,+23:13:08.2,original,Sb?t
23,587733081886490754,183.5918731689453,56.01143646240234,12:14:22.05,+56:00:41.2,original,Sb2t
27,588018056733130844,240.66896057128903,37.359493255615234,16:02:40.55,+37:21:34.2,original,Sb?t
34,587742616173740156,243.51370239257807,14.282114028930664,16:14:03.29,+14:16:55.6,original,SBb2m
38,587733604267131173,245.8189392089844,39.91987609863281,16:23:16.55,+39:55:11.6,original,SBc3m
40,587729652349141047,249.1356964111328,39.02787399291992,16:36:32.57,+39:01:40.3,original,Sc2t
41,587736915142574202,221.75042724609372,11.592020988464355,14:47:00.10,+11:35:31.3,original,Sb2t
44,588009365861498889,136.79623413085938,50.71274566650391,09:07:11.10,+50:42:45.9,original,Sb3t
48,587736899038216319,243.19552612304688,27.98733139038086,16:12:46.93,+27:59:14.4,original,Ei
57,587737809030152231,116.65711975097656,44.79051971435547,07:46:37.71,+44:47:25.9,original,Sb?t
61,588016892788211725,160.85604858398438,40.77421188354492,10:43:25.45,+40:46:27.2,original,Sb3m
72,587742864214523914,184.47300720214844,17.44210433959961,12:17:53.52,+17:26:31.6,original,Sc2t
77,587736584436777018,236.9414978027344,28.64169311523437,15:47:45.96,+28:38:30.1,original,Sb+t
80,587735660479119437,160.46142578125,38.71680450439453,10:41:50.74,+38:43:00.5,original,Ser
85,587734305413529813,330.816650390625,0.571093738079071,22:03:16.00,+00:34:15.9,stripe82,SBb2m
87,587742589330128914,238.34657287597656,11.95917797088623,15:53:23.18,+11:57:33.0,original,Sc+t
88,587726032268361917,225.33810424804688,1.637075424194336,15:01:21.15,+01:38:13.5,original,Sb3m
90,588848900980670532,166.88168334960938,0.7831036448478699,11:07:31.60,+00:46:59.2,original,SBb+t
91,587741532236349588,140.72108459472656,21.97518348693848,09:22:53.06,+21:58:30.7,original,Sc2m
100,588017992312684614,232.8253326416016,7.457752704620361,15:31:18.08,+07:27:27.9,original,Sc3t
116,587739719763558489,218.94058227539065,24.72579574584961,14:35:45.74,+24:43:32.9,original,SBc2m
126,588017111290150975,165.04747009277344,45.73783493041992,11:00:11.39,+45:44:16.2,original,Sc+t
128,587739708486254659,222.39926147460935,25.38133430480957,14:49:35.82,+25:22:52.8,original,Sb?t
136,587730847424315402,313.0932312011719,0.0757270008325576,20:52:22.38,+00:04:32.6,stripe82,Sb3t
